,genre,gross,imdb_score
0,Action,7.61,7.9
1,Adventure,7.61,7.9
2,Fantasy,7.61,7.9
3,Sci-Fi,7.61,7.9
0,Action,3.09,7.1
1,Adventure,3.09,7.1
2,Fantasy,3.09,7.1
0,Action,2.0,6.8
1,Adventure,2.0,6.8
2,Thriller,2.0,6.8
0,Action,4.48,8.5
1,Thriller,4.48,8.5
0,Action,0.73,6.6
1,Adventure,0.73,6.6
2,Sci-Fi,0.73,6.6
0,Action,3.37,6.2
1,Adventure,3.37,6.2
2,Romance,3.37,6.2
0,Adventure,2.01,7.8
1,Animation,2.01,7.8
2,Comedy,2.01,7.8
3,Family,2.01,7.8
4,Fantasy,2.01,7.8
5,Musical,2.01,7.8
6,Romance,2.01,7.8
0,Action,4.59,7.5
1,Adventure,4.59,7.5
2,Sci-Fi,4.59,7.5
0,Adventure,3.02,7.5
1,Family,3.02,7.5
2,Fantasy,3.02,7.5
3,Mystery,3.02,7.5
0,Action,3.3,6.9
1,Adventure,3.3,6.9
2,Sci-Fi,3.3,6.9
0,Action,2.0,6.1
1,Adventure,2.0,6.1
2,Sci-Fi,2.0,6.1
0,Action,1.68,6.7
1,Adventure,1.68,6.7
0,Action,4.23,7.3
1,Adventure,4.23,7.3
2,Fantasy,4.23,7.3
0,Action,0.89,6.5
1,Adventure,0.89,6.5
2,Western,0.89,6.5
0,Action,2.91,7.2
1,Adventure,2.91,7.2
2,Fantasy,2.91,7.2
3,Sci-Fi,2.91,7.2
0,Action,1.42,6.6
1,Adventure,1.42,6.6
2,Family,1.42,6.6
3,Fantasy,1.42,6.6
0,Action,6.23,8.1
1,Adventure,6.23,8.1
2,Sci-Fi,6.23,8.1
0,Action,2.41,6.7
1,Adventure,2.41,6.7
2,Fantasy,2.41,6.7
0,Action,1.79,6.8
1,Adventure,1.79,6.8
2,Comedy,1.79,6.8
3,Family,1.79,6.8
4,Fantasy,1.79,6.8
5,Sci-Fi,1.79,6.8
0,Adventure,2.55,7.5
1,Fantasy,2.55,7.5
0,Action,2.62,7.0
1,Adventure,2.62,7.0
2,Fantasy,2.62,7.0
0,Action,1.05,6.7
1,Adventure,1.05,6.7
2,Drama,1.05,6.7
3,History,1.05,6.7
0,Adventure,2.58,7.9
1,Fantasy,2.58,7.9
0,Adventure,0.7,6.1
1,Family,0.7,6.1
2,Fantasy,0.7,6.1
0,Action,2.18,7.2
1,Adventure,2.18,7.2
2,Drama,2.18,7.2
3,Romance,2.18,7.2
0,Drama,6.59,7.7
1,Romance,6.59,7.7
0,Action,4.07,8.2
1,Adventure,4.07,8.2
2,Sci-Fi,4.07,8.2
0,Action,0.65,5.9
1,Adventure,0.65,5.9
2,Sci-Fi,0.65,5.9
3,Thriller,0.65,5.9
0,Action,6.52,7.0
1,Adventure,6.52,7.0
2,Sci-Fi,6.52,7.0
3,Thriller,6.52,7.0
0,Action,3.04,7.8
1,Adventure,3.04,7.8
2,Thriller,3.04,7.8
0,Action,3.73,7.3
1,Adventure,3.73,7.3
2,Fantasy,3.73,7.3
3,Romance,3.73,7.3
0,Action,4.09,7.2
1,Adventure,4.09,7.2
2,Sci-Fi,4.09,7.2
0,Adventure,3.34,6.5
1,Family,3.34,6.5
2,Fantasy,3.34,6.5
0,Action,2.34,6.8
1,Adventure,2.34,6.8
2,Fantasy,2.34,6.8
3,Sci-Fi,2.34,6.8
4,Thriller,2.34,6.8
0,Adventure,2.68,7.3
1,Animation,2.68,7.3
2,Comedy,2.68,7.3
3,Family,2.68,7.3
4,Fantasy,2.68,7.3
0,Action,4.02,6.0
1,Adventure,4.02,6.0
2,Sci-Fi,4.02,6.0
0,Action,2.45,5.7
1,Adventure,2.45,5.7
2,Sci-Fi,2.45,5.7
0,Adventure,2.35,6.4
1,Family,2.35,6.4
2,Fantasy,2.35,6.4
0,Action,2.03,6.7
1,Adventure,2.03,6.7
2,Fantasy,2.03,6.7
3,Sci-Fi,2.03,6.7
0,Action,1.72,6.8
1,Adventure,1.72,6.8
2,Sci-Fi,1.72,6.8
0,Adventure,1.91,6.3
1,Animation,1.91,6.3
2,Comedy,1.91,6.3
3,Family,1.91,6.3
4,Sport,1.91,6.3
0,Action,1.17,5.6
1,Adventure,1.17,5.6
2,Sci-Fi,1.17,5.6
